Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS14000006,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Rate - Black or African American,,,,,,,,,,,
Labor force status:,Unemployment rate,,,,,,,,,,,
Type of data:,Percent or rate,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Race:,Black or African American,,,,,,,,,,,
Years:,2006 to 2016,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,8.9,9.5,9.5,9.4,8.7,8.9,9.5,8.8,9.0,8.4,8.5,8.3
2007,7.9,8.0,8.4,8.3,8.3,8.5,8.1,7.6,8.0,8.5,8.5,9.0
2008,9.1,8.4,9.2,8.6,9.6,9.4,10.0,10.6,11.3,11.4,11.5,12.1
2009,12.7,13.7,13.7,15.0,15.0,14.8,14.8,14.8,15.3,15.8,15.7,16.1
2010,16.5,16.1,16.8,16.6,15.5,15.2,15.6,15.9,16.0,15.6,16.2,15.5
2011,15.8,15.5,15.8,16.5,16.3,16.2,15.9,16.4,15.9,14.6,15.6,15.4
2012,13.6,14.0,14.0,13.3,13.5,14.4,14.2,13.8,13.6,14.1,13.3,13.9
2013,13.8,13.9,13.0,13.2,13.4,13.9,12.6,12.9,13.1,12.9,12.3,11.8
2014,12.1,11.9,12.2,11.5,11.4,10.8,11.6,11.5,11.0,10.8,10.9,10.4
2015,10.3,10.3,10.0,9.6,10.2,9.5,9.1,9.4,9.2,9.2,9.4,8.3
2016,8.8,8.8,9.0,8.8,8.2,8.6,8.4,8.1,8.3,8.6,8.1,