Year,Month,White,Black,Asian,Hispanic
2006,Jan,4.1,8.9,3.0,5.5
2006,Feb,4.1,9.5,3.0,5.4
2006,Mar,4.0,9.5,3.5,5.2
2006,Apr,4.1,9.4,3.9,5.5
2006,May,4.1,8.7,3.3,5.0
2006,Jun,4.1,8.9,3.1,5.2
2006,Jul,4.1,9.5,2.4,5.2
2006,Aug,4.1,8.8,3.0,5.3
2006,Sep,3.9,9.0,3.0,5.5
2006,Oct,3.9,8.4,2.8,4.8
2006,Nov,4.0,8.5,3.1,5.1
2006,Dec,3.9,8.3,2.5,5.0
2007,Jan,4.2,7.9,3.1,5.5
2007,Feb,4.1,8.0,2.6,5.1
2007,Mar,3.8,8.4,3.0,5.0
2007,Apr,4.0,8.3,3.5,5.6
2007,May,3.9,8.3,3.2,5.8
2007,Jun,4.1,8.5,2.7,5.5
2007,Jul,4.2,8.1,2.7,5.9
2007,Aug,4.2,7.6,3.5,5.5
2007,Sep,4.2,8.0,3.4,5.9
2007,Oct,4.1,8.5,3.8,5.7
2007,Nov,4.2,8.5,3.6,5.9
2007,Dec,4.4,9.0,3.7,6.3
2008,Jan,4.4,9.1,3.1,6.3
2008,Feb,4.4,8.4,2.9,6.2
2008,Mar,4.5,9.2,3.6,6.9
2008,Apr,4.4,8.6,3.5,7.1
2008,May,4.8,9.6,4.1,6.9
2008,Jun,5.0,9.4,4.2,7.6
2008,Jul,5.2,10.0,3.7,7.5
2008,Aug,5.4,10.6,4.5,8.0
2008,Sep,5.4,11.3,4.0,8.0
2008,Oct,5.9,11.4,3.9,8.8
2008,Nov,6.2,11.5,4.8,8.7
2008,Dec,6.7,12.1,5.1,9.4
2009,Jan,7.1,12.7,6.1,10.1
2009,Feb,7.6,13.7,6.7,11.3
2009,Mar,8.0,13.7,6.5,11.7
2009,Apr,8.1,15.0,6.8,11.4
2009,May,8.5,15.0,7.0,12.3
2009,Jun,8.7,14.8,7.9,12.1
2009,Jul,8.7,14.8,8.1,12.5
2009,Aug,8.9,14.8,7.6,13.0
2009,Sep,8.9,15.3,7.6,12.6
2009,Oct,9.2,15.8,7.6,12.8
2009,Nov,9.2,15.7,7.2,12.4
2009,Dec,9.0,16.1,8.4,12.8
2010,Jan,8.8,16.5,8.3,12.9
2010,Feb,8.9,16.1,8.2,12.7
2010,Mar,8.9,16.8,7.6,12.9
2010,Apr,9.0,16.6,7.0,12.5
2010,May,8.7,15.5,7.8,12.0
2010,Jun,8.6,15.2,7.4,12.3
2010,Jul,8.5,15.6,7.9,12.2
2010,Aug,8.6,15.9,7.3,12.0
2010,Sep,8.6,16.0,6.6,12.3
2010,Oct,8.6,15.6,7.2,12.3
2010,Nov,8.9,16.2,7.5,12.9
2010,Dec,8.5,15.5,7.2,12.9
2011,Jan,8.1,15.8,6.8,12.3
2011,Feb,8.1,15.5,6.7,11.8
2011,Mar,8.0,15.8,7.3,11.6
2011,Apr,8.1,16.5,6.5,11.9
2011,May,7.9,16.3,7.2,11.6
2011,Jun,8.1,16.2,6.5,11.5
2011,Jul,8.0,15.9,7.4,11.2
2011,Aug,7.9,16.4,7.2,11.2
2011,Sep,7.9,15.9,8.0,11.2
2011,Oct,7.9,14.6,7.4,11.3
2011,Nov,7.7,15.6,6.4,11.2
2011,Dec,7.5,15.4,6.8,11.1
2012,Jan,7.4,13.6,6.6,10.6
2012,Feb,7.4,14.0,6.2,10.8
2012,Mar,7.3,14.0,6.4,10.5
2012,Apr,7.4,13.3,5.3,10.4
2012,May,7.4,13.5,5.5,10.8
2012,Jun,7.3,14.4,6.0,10.9
2012,Jul,7.3,14.2,5.9,10.1
2012,Aug,7.2,13.8,6.0,10.1
2012,Sep,7.0,13.6,5.0,9.8
2012,Oct,6.9,14.1,4.9,10.0
2012,Nov,6.8,13.3,6.3,9.9
2012,Dec,6.9,13.9,6.6,9.7
2013,Jan,7.0,13.8,6.4,9.7
2013,Feb,6.8,13.9,6.0,9.7
2013,Mar,6.7,13.0,5.1,9.2
2013,Apr,6.7,13.2,5.3,9.1
2013,May,6.7,13.4,4.5,9.0
2013,Jun,6.6,13.9,4.7,9.0
2013,Jul,6.5,12.6,5.4,9.3
2013,Aug,6.4,12.9,5.2,9.2
2013,Sep,6.3,13.1,5.4,9.0
2013,Oct,6.3,12.9,5.3,9.1
2013,Nov,6.1,12.3,5.2,8.7
2013,Dec,5.9,11.8,4.1,8.4
2014,Jan,5.7,12.1,4.8,8.3
2014,Feb,5.8,11.9,5.9,8.1
2014,Mar,5.7,12.2,5.5,7.9
2014,Apr,5.3,11.5,5.8,7.4
2014,May,5.4,11.4,5.6,7.7
2014,Jun,5.3,10.8,4.8,7.6
2014,Jul,5.3,11.6,4.2,7.6
2014,Aug,5.3,11.5,4.6,7.4
2014,Sep,5.1,11.0,4.5,7.0
2014,Oct,4.9,10.8,5.0,6.8
2014,Nov,5.0,10.9,4.7,6.6
2014,Dec,4.8,10.4,4.2,6.5
2015,Jan,4.9,10.3,4.0,6.7
2015,Feb,4.7,10.3,4.0,6.7
2015,Mar,4.7,10.0,3.2,6.8
2015,Apr,4.7,9.6,4.4,6.9
2015,May,4.7,10.2,4.1,6.7
2015,Jun,4.6,9.5,3.8,6.6
2015,Jul,4.6,9.1,4.0,6.8
2015,Aug,4.4,9.4,3.5,6.6
2015,Sep,4.4,9.2,3.7,6.4
2015,Oct,4.4,9.2,3.5,6.4
2015,Nov,4.4,9.4,3.9,6.4
2015,Dec,4.5,8.3,4.0,6.3
2016,Jan,4.3,8.8,3.7,5.9
2016,Feb,4.3,8.8,3.8,5.4
2016,Mar,4.3,9.0,4.0,5.6
2016,Apr,4.3,8.8,3.8,6.1
2016,May,4.1,8.2,4.1,5.6
2016,Jun,4.4,8.6,3.5,5.8
2016,Jul,4.3,8.4,3.8,5.4
2016,Aug,4.4,8.1,4.2,5.6
2016,Sep,4.4,8.3,3.9,6.4
2016,Oct,4.3,8.6,3.4,5.7
2016,Nov,4.2,8.1,3.0,5.7
2016,Dec,NA,NA,NA,NA
